,Unnamed: 0,id,homeTacklesTotalHT,homeShotsTotalHT,awayDispossessedFT,awayPassSuccessFT,awayRatingsFT,awayDribbleSuccessFT,awayDribblesAttemptedHT,awayTeamLineUp,awayShotsBlockedHT,awayShotsTotalHT,homeDribbleSuccessHT,homeFoulsCommitedFT,homeAerialsTotalFT,homeRatingsHT,awayShotsOnTargetFT,awayShotsBlockedFT,homeInterceptionsHT,awayPossessionHT,homePassesKeyFT,awayShotsOnTargetHT,awayDribblesWonFT,awayTackleSuccessHT,homeCornersTotalFT,homeAerialsTotalHT,homeShotsBlockedFT,awayCornersTotalHT,homeCornersTotalHT,homeDribbleSuccessFT,homeTeamLineUp,awayPassSuccessHT,awayDribblesWonHT,homeDispossessedHT,awayAerialsTotalFT,homeShotsBlockedHT,awayPassesKeyFT,homeTackleSuccessHT,awayPassesKeyHT,homeFormation,awayInterceptionsHT,awayDispossessedHT,refereeName,homeDribblesWonHT,homePossessionFT,awayAerialsTotalHT,awayGoalHT,awayManagerName,awayInterceptionsFT,homeDribbledPastFT,homeGoalHT,awayDribbleSuccessHT,homeGoalFT,awayTacklesTotalHT,homeDribblesWonFT,awayTackleSuccessFT,awayTeam,homeDispossessedFT,awayOffsidesCaughtFT,awayDribbledPastFT,homeShotsOnTargetHT,awayFormation,awayOffsidesCaughtHT,homeDribbledPastHT,awayFoulsCommitedHT,homeShotsTotalFT,homePassSuccessFT,homeFoulsCommitedHT,awayCornersTotalFT,homeTeam,homeManagerName,awayFoulsCommitedFT,homeShotsOnTargetFT,homeDribblesAttemptedHT,awayRatingsHT,homeOffsidesCaughtHT,homeTacklesTotalFT,awayDribbledPastHT,awayGoalFT,homePassesKeyHT,homeOffsidesCaughtFT,homePossessionHT,venueName,awayDribblesAttemptedFT,homeInterceptionsFT,homePassSuccessHT,date,awayTacklesTotalFT,homeRatingsFT,homeDribblesAttemptedFT,homeTackleSuccessFT,awayPossessionFT,awayShotsTotalFT,division
525,526,526,11,9,14.0,68.13,6.15,50.0,5,"Hugo Lloris,Kyle Naughton,Younes Kaboul,Michael Dawson,Danny Rose,Aaron Lennon,Paulinho,Gylfi Sigurdsson,Christian Eriksen,Emmanuel Adebayor,Harry Kane",1.0,3.0,38.1,10,40,6.35,3.0,4.0,2,49.96,12,2.0,6.0,80.3,10.0,24,3.0,1.0,6.0,36.27,"Adrián,Guy Demel,Winston Reid,James Tomkins,George McCartney,Matthew Taylor,Mark Noble,Stewart Downing,Kevin Nolan,Mohamed Diamé,Andy Carroll",60.02,1.0,6,40,1.0,8.0,95.0,3.0,4231,3,6.0,Phil Dowd,4.0,49.13,24,0,Tim Sherwood,11,6.0,2,20.0,2,15,8.0,81.67,Tottenham,16,0.0,8.0,4.0,442,0.0,1.0,7,20,70.17,3,6.0,West Ham,Sam Allardyce,16,8.0,9.0,6.11,3.0,25,4.0,0,5,3.0,50.04,Boleyn Ground,11,9,69.9,2014-05-03,36,6.73,20.0,80.95,50.87,12.0,EPL
526,527,527,13,5,13.0,72.81,6.79,46.15,8,"Simon Mignolet,Glen Johnson,Mamadou Sakho,Martin Skrtel,Jon Flanagan,Lucas Leiva,Jordan Henderson,Joe Allen,Raheem Sterling,Luis Suárez,Philippe Coutinho",3.0,13.0,71.43,17,22,6.1,10.0,4.0,7,58.8,5,6.0,7.0,67.86,2.0,15,3.0,5.0,1.0,70.59,"Hugo Lloris,Kyle Walker,Etienne Capoue,Michael Dawson,Kyle Naughton,Mousa Dembélé,Sandro,Aaron Lennon,Paulinho,Nacer Chadli,Roberto Soldado",67.64,5.0,8,22,1.0,14.0,63.64,6.0,4231,6,5.0,Jonathan Moss,6.0,44.69,15,2,Brendan Rodgers,13,7.0,0,57.14,0,16,14.0,62.9,Liverpool,18,4.0,14.0,0.0,433,1.0,5.0,6,9,68.66,10,9.0,Tottenham,Andre Villas-Boas,15,0.0,8.0,6.38,0.0,28,6.0,5,4,0.0,41.2,White Hart Lane,15,12,61.26,2013-12-15,37,6.16,19.0,75.0,55.31,21.0,EPL
527,528,528,15,3,14.0,70.37,6.43,60.71,8,"Tim Howard,Seamus Coleman,Sylvain Distin,Phil Jagielka,Bryan Oviedo,James McCarthy,Gareth Barry,Kevin Mirallas,Ross Barkley,Steven Pienaar,Romelu Lukaku",2.0,5.0,50.0,13,18,6.24,4.0,2.0,16,54.53,9,0.0,9.0,71.43,3.0,4,2.0,1.0,0.0,62.22,"Wojciech Szczesny,Carl Jenkinson,Laurent Koscielny,Per Mertesacker,Kieran Gibbs,Mikel Arteta,Aaron Ramsey,Jack Wilshere,Mesut Özil,Santiago Cazorla,Olivier Giroud",83.28,5.0,3,18,1.0,9.0,65.38,4.0,4231,11,7.0,Howard Webb,2.0,49.16,4,0,Roberto Martinez,18,9.0,0,62.5,1,7,10.0,56.67,Everton,7,1.0,10.0,2.0,4231,0.0,5.0,7,11,66.4,6,2.0,Arsenal,Arsène Wenger,11,5.0,4.0,6.19,2.0,29,2.0,1,3,2.0,45.47,Emirates Stadium,15,24,64.49,2013-12-08,24,6.48,17.0,68.67,50.84,12.0,EPL
528,529,529,16,8,8.0,60.98,6.37,45.0,12,"Brad Guzan,Leandro Bacuna,Chris Herd,Ciaran Clark,Nathan Baker,Karim El Ahmadi,Ashley Westwood,Fabian Delph,Andreas Weimann,Christian Benteke,Gabriel Agbonlahor",0.0,5.0,100.0,12,46,6.46,2.0,4.0,1,50.09,18,1.0,11.0,68.18,4.0,20,4.0,2.0,2.0,80.77,"Maarten Stekelenburg,Sascha Riether,Philippe Senderos,Aaron Hughes,John Arne Riise,Giorgos Karagounis,Scott Parker,Steve Sidwell,Ashkan Dejagah,Dimitar Berbatov,Alexander Kacaniklic",68.03,5.0,11,46,3.0,8.0,71.43,4.0,433,8,4.0,Mike Dean,4.0,52.88,20,0,Paul Lambert,13,11.0,2,40.91,2,15,12.0,62.0,Aston Villa,19,1.0,12.0,5.0,433,1.0,5.0,6,22,67.13,7,7.0,Fulham,Rene Meulensteen,13,10.0,4.0,6.22,1.0,31,4.0,0,5,2.0,49.91,Craven Cottage,23,5,69.61,2013-12-08,34,6.83,15.0,66.67,47.12,10.0,EPL
529,530,530,20,5,17.0,67.64,6.53,47.37,11,"Hugo Lloris,Kyle Walker,Etienne Capoue,Michael Dawson,Kyle Naughton,Mousa Dembélé,Paulinho,Aaron Lennon,Lewis Holtby,Nacer Chadli,Jermain Defoe",3.0,9.0,25.0,14,36,6.28,5.0,8.0,7,59.43,9,2.0,11.0,85.0,4.0,17,2.0,6.0,0.0,20.0,"Vito Mannone,Ondrej Celustka,John O'Shea,Wes Brown,Phil Bardsley,Sebastian Larsson,Jack Colback,Ki Sung-yueng,Adam Johnson,Jozy Altidore,Steven Fletcher",81.12,4.0,5,36,1.0,21.0,85.29,10.0,442,3,9.0,Lee Mason,2.0,49.96,17,1,Andre Villas-Boas,19,11.0,1,27.78,1,12,3.0,89.47,Tottenham,11,1.0,3.0,2.0,4231,0.0,4.0,3,11,68.39,9,10.0,Sunderland,Gus Poyet,9,4.0,7.0,6.17,0.0,39,2.0,2,4,2.0,40.57,Stadium of Light,22,12,69.22,2013-12-07,23,6.39,12.0,76.34,50.04,22.0,EPL
530,531,531,17,14,10.0,60.74,6.33,63.89,10,"Jussi Jääskeläinen,Guy Demel,James Tomkins,James Collins,George McCartney,Mohamed Diamé,Mark Noble,Stewart Downing,Kevin Nolan,Matthew Jarvis,Modibo Maiga",3.0,4.0,63.64,9,47,6.32,1.0,5.0,4,39.79,31,1.0,12.0,53.33,8.0,26,13.0,3.0,3.0,50.0,"Simon Mignolet,Glen Johnson,Mamadou Sakho,Martin Skrtel,Jon Flanagan,Steven Gerrard,Joe Allen,Jordan Henderson,Philippe Coutinho,Raheem Sterling,Luis Suárez",63.93,8.0,5,47,6.0,5.0,53.85,4.0,4231,7,7.0,Michael Oliver,8.0,62.02,26,0,Sam Allardyce,12,12.0,1,83.33,4,18,15.0,62.9,West Ham,11,1.0,15.0,2.0,4231,1.0,8.0,5,32,78.86,6,4.0,Liverpool,Brendan Rodgers,12,9.0,13.0,6.25,2.0,30,8.0,1,14,2.0,60.21,Anfield,20,14,77.5,2013-12-07,43,6.77,32.0,60.0,37.98,8.0,EPL
531,532,532,10,7,12.0,58.73,6.65,58.33,4,"John Ruddy,Steven Whittaker,Sebastien Bassong,Michael Turner,Martin Olsson,Nathan Redmond,Jonny Howson,Bradley Johnson,Leroy Fer,Johan Elmander,Gary Hooper",2.0,5.0,75.0,10,28,6.17,3.0,2.0,7,40.59,17,2.0,4.0,60.0,10.0,17,6.0,1.0,7.0,66.67,"Boaz Myhill,Billy Jones,Diego Lugano,Gareth McAuley,Liam Ridgewell,Claudio Yacob,Youssouf Mulumbu,Morgan Amalfitano,Stéphane Sessegnon,Chris Brunt,Victor Anichebe",67.07,2.0,5,28,2.0,5.0,83.33,2.0,4231,12,6.0,Mark Clattenburg,6.0,62.98,17,1,Chris Hughton,21,4.0,0,50.0,0,13,12.0,55.88,Norwich,6,0.0,12.0,3.0,442,0.0,2.0,2,26,74.3,6,3.0,West Brom,Steve Clarke,6,12.0,8.0,6.36,1.0,19,6.0,2,7,1.0,59.41,The Hawthorns,7,13,68.11,2013-12-07,23,6.34,17.0,82.29,37.02,8.0,EPL
532,533,533,12,6,17.0,64.64,6.25,62.5,3,"David Marshall,Kévin Théophile-Catherine,Steven Caulker,Ben Turner,Declan John,Don Cowie,Gary Medel,Jordon Mutch,Peter Whittingham,Kim Bo-Kyung,Fraizer Campbell",0.0,3.0,50.0,9,67,6.45,2.0,1.0,6,51.51,14,1.0,10.0,59.09,8.0,32,3.0,1.0,4.0,53.12,"Julian Speroni,Joel Ward,Damien Delaney,Danny Gabbidon,Dean Moxey,Jason Puncheon,Mile Jedinak,Kagisho Dikgacoi,Barry Bannan,Marouane Chamakh,Cameron Jerome",67.97,2.0,2,67,1.0,6.0,90.0,1.0,442,6,9.0,Michael Jones,5.0,45.78,32,0,Malky Mackay,12,10.0,1,50.0,2,13,10.0,57.89,Cardiff,4,1.0,10.0,1.0,451,1.0,2.0,6,19,55.44,4,3.0,Crystal Palace,Tony Pulis,12,5.0,11.0,6.12,2.0,32,5.0,0,4,2.0,48.49,Selhurst Park,15,11,60.22,2013-12-07,23,6.77,19.0,73.08,54.22,10.0,EPL
533,534,534,19,4,13.0,71.7,6.52,64.29,15,"Petr Cech,Branislav Ivanovic,Gary Cahill,John Terry,César Azpilicueta,Ramires,John Obi Mikel,André Schürrle,Juan Mata,Eden Hazard,Fernando Torres",1.0,6.0,90.0,14,55,6.11,6.0,3.0,5,52.27,8,3.0,17.0,60.0,5.0,30,2.0,2.0,2.0,62.5,"Asmir Begovic,Geoff Cameron,Marc Wilson,Ryan Shawcross,Marc Muniesa,Steven N'Zonzi,Glenn Whelan,Jonathan Walters,Charlie Adam,Marko Arnautovic,Peter Crouch",73.83,10.0,6,55,2.0,11.0,53.33,4.0,4231,5,4.0,Jonathan Moss,7.0,46.67,30,1,José Mourinho,9,17.0,1,62.5,3,14,8.0,73.53,Chelsea,10,0.0,8.0,1.0,4231,0.0,10.0,3,9,61.95,6,2.0,Stoke,Mark Hughes,8,3.0,8.0,6.38,1.0,38,7.0,2,3,2.0,47.73,Britannia Stadium,25,11,64.5,2013-12-07,22,6.46,12.0,55.95,53.33,15.0,EPL
534,535,535,21,10,7.0,63.05,6.63,43.33,16,"Costel Pantilimon,Pablo Zabaleta,Martín Demichelis,Vincent Kompany,Aleksandar Kolarov,James Milner,Fernandinho,Yaya Touré,Samir Nasri,Sergio Agüero,Álvaro Negredo",0.0,7.0,41.67,6,35,6.18,3.0,1.0,4,41.74,11,2.0,11.0,60.78,5.0,18,3.0,2.0,4.0,45.83,"Paulo Gazzaniga,Calum Chambers,Dejan Lovren,Jose Fonte,Luke Shaw,Jack Cork,James Ward-Prowse,Adam Lallana,Steven Davis,Jay Rodriguez,Pablo Daniel Osvaldo",63.73,8.0,5,35,3.0,12.0,67.71,6.0,4231,4,5.0,Anthony Taylor,10.0,52.53,18,1,Manuel Pellegrini,16,11.0,1,47.22,1,26,18.0,61.11,Man City,10,2.0,18.0,3.0,442,0.0,8.0,3,15,72.65,4,4.0,Southampton,Mauricio Pochettino,9,4.0,21.0,6.46,1.0,31,10.0,1,9,6.0,58.26,St. Mary's Stadium,24,11,82.59,2013-12-07,46,6.52,36.0,68.59,47.47,13.0,EPL
