,Unnamed: 0,Unnamed: 0.1,id,homeTacklesTotalHT,homeShotsTotalHT,awayDispossessedFT,awayPassSuccessFT,awayRatingsFT,awayDribbleSuccessFT,awayDribblesAttemptedHT,awayTeamLineUp,awayShotsBlockedHT,awayShotsTotalHT,homeDribbleSuccessHT,homeFoulsCommitedFT,homeAerialsTotalFT,homeRatingsHT,awayShotsOnTargetFT,awayShotsBlockedFT,homeInterceptionsHT,awayPossessionHT,homePassesKeyFT,awayShotsOnTargetHT,awayDribblesWonFT,awayTackleSuccessHT,homeCornersTotalFT,homeAerialsTotalHT,homeShotsBlockedFT,awayCornersTotalHT,homeCornersTotalHT,homeDribbleSuccessFT,homeTeamLineUp,awayPassSuccessHT,awayDribblesWonHT,homeDispossessedHT,awayAerialsTotalFT,homeShotsBlockedHT,awayPassesKeyFT,homeTackleSuccessHT,awayPassesKeyHT,homeFormation,awayInterceptionsHT,awayDispossessedHT,refereeName,homeDribblesWonHT,homePossessionFT,awayAerialsTotalHT,awayGoalHT,awayManagerName,awayInterceptionsFT,homeDribbledPastFT,homeGoalHT,awayDribbleSuccessHT,homeGoalFT,awayTacklesTotalHT,homeDribblesWonFT,awayTackleSuccessFT,awayTeam,homeDispossessedFT,awayOffsidesCaughtFT,awayDribbledPastFT,homeShotsOnTargetHT,awayFormation,awayOffsidesCaughtHT,homeDribbledPastHT,awayFoulsCommitedHT,homeShotsTotalFT,homePassSuccessFT,homeFoulsCommitedHT,awayCornersTotalFT,homeTeam,homeManagerName,awayFoulsCommitedFT,homeShotsOnTargetFT,homeDribblesAttemptedHT,awayRatingsHT,homeOffsidesCaughtHT,homeTacklesTotalFT,awayDribbledPastHT,awayGoalFT,homePassesKeyHT,homeOffsidesCaughtFT,homePossessionHT,venueName,awayDribblesAttemptedFT,homeInterceptionsFT,homePassSuccessHT,date,awayTacklesTotalFT,homeRatingsFT,homeDribblesAttemptedFT,homeTackleSuccessFT,awayPossessionFT,awayShotsTotalFT
918,918,919,919,8,6,20.0,64.89,6.35,10.0,2,"Fraser Forster,Nathaniel Clyne,Toby Alderweireld,Jose Fonte,Ryan Bertrand,Victor Wanyama,Jack Cork,Steven Davis,Shane Long,Graziano Pellè,Dusan Tadic",0.0,2.0,50.0,7,41,6.29,1.0,2.0,18,45.81,15,1.0,1.0,67.65,9.0,19,4.0,3.0,5.0,68.42,"Emiliano Martinez,Calum Chambers,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Mathieu Flamini,Aaron Ramsey,Alex Oxlade-Chamberlain,Santiago Cazorla,Alexis Sánchez,Danny Welbeck",64.58,0.0,8,41,1.0,6.0,100.0,2.0,4231,6,7.0,Andre Marriner,6.0,57.6,19,0,Ronald Koeman,17,1.0,0,0.0,1,20,14.0,60.34,Southampton,16,1.0,14.0,2.0,433,1.0,0.0,7,19,75.76,2,4.0,Arsenal,Arsène Wenger,14,8.0,12.0,6.17,0.0,25,6.0,0,3,2.0,54.19,Emirates Stadium,6,28,74.06,2014-12-03,36,6.6,20.0,98.25,42.4,6.0
921,921,922,922,19,10,13.0,75.56,6.2,72.73,13,"Emiliano Martinez,Héctor Bellerín,Per Mertesacker,Calum Chambers,Kieran Gibbs,Mathieu Flamini,Aaron Ramsey,Alex Oxlade-Chamberlain,Santiago Cazorla,Alexis Sánchez,Olivier Giroud",2.0,7.0,71.43,17,34,6.51,6.0,3.0,2,53.51,9,1.0,19.0,61.11,3.0,20,3.0,3.0,2.0,84.62,"Asmir Begovic,Phil Bardsley,Marc Muniesa,Ryan Shawcross,Erik Pieters,Steven N'Zonzi,Geoff Cameron,Jonathan Walters,Bojan,Mame Biram Diouf,Peter Crouch",77.75,8.0,6,34,2.0,11.0,61.76,6.0,4231,6,6.0,Anthony Taylor,6.0,44.19,20,0,Arsène Wenger,16,19.0,3,59.09,3,14,14.0,55.8,Arsenal,12,3.0,14.0,4.0,4231,1.0,8.0,5,13,61.99,10,9.0,Stoke,Mark Hughes,14,4.0,8.0,6.04,2.0,39,6.0,2,8,3.0,46.49,Britannia Stadium,26,4,64.53,2014-12-06,28,6.77,16.0,52.6,55.81,14.0
930,930,931,931,15,0,8.0,71.08,6.61,63.89,11,"Emiliano Martinez,Calum Chambers,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Mathieu Flamini,Aaron Ramsey,Alexis Sánchez,Santiago Cazorla,Danny Welbeck,Olivier Giroud",2.0,8.0,50.0,9,49,6.2,5.0,6.0,8,49.88,7,4.0,13.0,75.0,4.0,24,3.0,0.0,1.0,41.67,"Ben Foster,Andre Wisdom,Joleon Lescott,Craig Dawson,Sébastien Pocognoli,Youssouf Mulumbu,Craig Gardner,Graham Dorrans,Stéphane Sessegnon,Chris Brunt,Saido Berahino",74.31,6.0,3,49,0.0,14.0,61.54,6.0,4231,17,4.0,Chris Foy,2.0,46.73,24,0,Arsène Wenger,24,13.0,0,55.0,0,7,3.0,79.17,Arsenal,6,1.0,3.0,0.0,4231,1.0,6.0,2,8,64.48,3,4.0,West Brom,Alan Irvine,10,1.0,4.0,6.3,2.0,28,2.0,1,0,4.0,50.12,The Hawthorns,20,11,67.76,2014-11-29,13,6.28,7.0,54.35,53.27,17.0
947,947,948,948,13,11,10.0,65.17,6.54,51.19,9,"David de Gea,Tyler Blackett,Chris Smalling,Patrick McNair,Antonio Valencia,Marouane Fellaini,Michael Carrick,Luke Shaw,Wayne Rooney,Ángel Di María,Robin van Persie",4.0,7.0,45.83,12,24,6.27,2.0,4.0,1,48.4,21,0.0,10.0,73.61,11.0,14,6.0,4.0,4.0,38.6,"Wojciech Szczesny,Calum Chambers,Per Mertesacker,Nacho Monreal,Kieran Gibbs,Mikel Arteta,Aaron Ramsey,Alex Oxlade-Chamberlain,Jack Wilshere,Alexis Sánchez,Danny Welbeck",64.25,3.0,5,24,1.0,9.0,81.48,5.0,4231,5,4.0,Mike Dean,5.0,57.62,14,0,Louis Van Gaal,10,10.0,0,27.78,1,15,11.0,78.2,Man Utd,12,4.0,11.0,5.0,3412,1.0,3.0,3,23,76.29,7,5.0,Arsenal,Arsène Wenger,8,9.0,10.0,6.19,0.0,29,5.0,2,11,1.0,51.6,Emirates Stadium,19,6,80.11,2014-11-22,38,6.33,26.0,69.05,42.38,12.0
962,962,963,963,10,5,6.0,72.62,6.4,60.0,7,"Wojciech Szczesny,Calum Chambers,Per Mertesacker,Nacho Monreal,Kieran Gibbs,Mathieu Flamini,Aaron Ramsey,Alex Oxlade-Chamberlain,Alexis Sánchez,Santiago Cazorla,Danny Welbeck",2.0,5.0,37.5,10,29,6.19,4.0,5.0,9,47.39,7,1.0,14.0,66.67,6.0,11,1.0,3.0,5.0,47.22,"Lukasz Fabianski,Angel Rangel,Kyle Bartley,Ashley Williams,Neil Taylor,Tom Carroll,Ki Sung-yueng,Marvin Emnes,Gylfi Sigurdsson,Jefferson Montero,Wilfried Bony",78.08,4.0,2,29,0.0,11.0,55.56,3.0,4231,8,3.0,Phil Dowd,3.0,47.16,11,0,Arsène Wenger,19,14.0,0,66.67,2,10,11.0,61.9,Arsenal,6,0.0,11.0,2.0,4231,0.0,4.0,7,11,69.27,3,10.0,Swansea,Garry Monk,16,5.0,8.0,6.17,2.0,29,3.0,1,4,4.0,52.61,Liberty Stadium,23,15,74.81,2014-11-09,27,6.42,21.0,53.33,52.84,12.0
969,969,970,970,3,13,8.0,55.06,6.45,66.67,1,"Tom Heaton,Kieran Trippier,Jason Shackell,Michael Duff,Stephen Ward,George Boyd,Dean Marney,David Jones,Scott Arfield,Danny Ings,Marvin Sordell",1.0,3.0,75.56,5,33,6.27,2.0,1.0,8,32.32,23,0.0,5.0,42.59,18.0,10,10.0,1.0,7.0,70.83,"Wojciech Szczesny,Calum Chambers,Per Mertesacker,Nacho Monreal,Kieran Gibbs,Mathieu Flamini,Mikel Arteta,Alex Oxlade-Chamberlain,Alexis Sánchez,Santiago Cazorla,Danny Welbeck",50.2,1.0,6,33,5.0,4.0,66.67,2.0,4231,12,2.0,Craig Pawson,14.0,66.97,10,0,Sean Dyche,20,5.0,0,100.0,3,25,21.0,48.33,Burnley,12,4.0,21.0,4.0,4411,2.0,1.0,4,32,78.48,4,1.0,Arsenal,Arsène Wenger,9,12.0,19.0,6.22,2.0,15,14.0,0,8,2.0,67.68,Emirates Stadium,7,14,76.69,2014-11-01,42,6.63,30.0,66.67,33.03,6.0
979,979,980,980,14,3,13.0,70.73,6.58,61.76,8,"Wojciech Szczesny,Calum Chambers,Per Mertesacker,Nacho Monreal,Kieran Gibbs,Mathieu Flamini,Mikel Arteta,Alex Oxlade-Chamberlain,Alexis Sánchez,Santiago Cazorla,Danny Welbeck",0.0,7.0,50.0,11,31,6.15,5.0,2.0,6,56.95,10,2.0,12.0,74.44,3.0,18,3.0,2.0,3.0,57.5,"Vito Mannone,Santiago Vergini,John O'Shea,Wes Brown,Patrick van Aanholt,Lee Cattermole,Adam Johnson,Sebastian Larsson,Jack Rodwell,William Buckley,Steven Fletcher",73.57,5.0,11,31,2.0,11.0,66.67,5.0,4141,3,6.0,Kevin Friend,5.0,45.58,18,1,Arsène Wenger,23,12.0,0,57.14,0,22,14.0,66.11,Arsenal,20,0.0,14.0,0.0,4231,0.0,5.0,5,11,67.23,3,3.0,Sunderland,Gus Poyet,9,3.0,11.0,6.26,0.0,33,5.0,2,3,2.0,43.05,Stadium of Light,20,14,71.36,2014-10-25,45,6.26,25.0,64.29,54.42,15.0
992,992,993,993,5,13,11.0,60.89,6.54,34.62,2,"Steve Harper,Michael Dawson,Curtis Davies,James Chester,Ahmed Elmohamady,Andrew Robertson,Mohamed Diamé,Jake Livermore,Tom Huddlestone,Hatem Ben Arfa,Abel Hernández",0.0,2.0,53.85,9,31,6.27,4.0,0.0,10,33.81,18,2.0,5.0,59.38,10.0,17,10.0,0.0,2.0,57.14,"Wojciech Szczesny,Héctor Bellerín,Per Mertesacker,Nacho Monreal,Kieran Gibbs,Mathieu Flamini,Alexis Sánchez,Santiago Cazorla,Jack Wilshere,Alex Oxlade-Chamberlain,Danny Welbeck",61.3,0.0,5,31,5.0,3.0,100.0,1.0,4141,8,3.0,Roger East,7.0,64.04,17,1,Steve Bruce,16,5.0,1,0.0,2,18,19.0,59.72,Hull,12,0.0,19.0,5.0,3511,0.0,0.0,8,25,81.05,3,0.0,Arsenal,Arsène Wenger,13,9.0,13.0,6.28,0.0,26,7.0,2,9,0.0,66.19,Emirates Stadium,15,21,79.21,2014-10-18,46,6.44,34.0,80.43,35.96,4.0
1006,1006,1007,1007,22,2,7.0,75.77,6.29,49.7,18,"Wojciech Szczesny,Calum Chambers,Laurent Koscielny,Per Mertesacker,Kieran Gibbs,Mathieu Flamini,Mesut Özil,Santiago Cazorla,Jack Wilshere,Alexis Sánchez,Danny Welbeck",0.0,1.0,58.33,14,34,6.28,0.0,4.0,7,52.26,3,0.0,27.0,71.79,2.0,20,1.0,0.0,1.0,61.4,"Thibaut Courtois,Branislav Ivanovic,Gary Cahill,John Terry,César Azpilicueta,Nemanja Matic,Cesc Fàbregas,André Schürrle,Oscar,Eden Hazard,Diego Costa",70.72,8.0,7,34,0.0,9.0,67.86,1.0,4231,11,4.0,Martin Atkinson,6.0,46.61,20,0,Arsène Wenger,17,27.0,1,42.42,2,17,13.0,66.67,Arsenal,17,0.0,13.0,2.0,4141,0.0,8.0,7,5,67.52,7,2.0,Chelsea,José Mourinho,10,3.0,10.0,6.11,2.0,56,6.0,0,0,3.0,47.74,Stamford Bridge,49,12,65.89,2014-10-05,38,6.61,21.0,58.84,53.39,10.0
1016,1016,1017,1017,14,5,9.0,57.12,6.46,42.86,10,"Hugo Lloris,Kyle Naughton,Jan Vertonghen,Younes Kaboul,Danny Rose,Etienne Capoue,Ryan Mason,Erik Lamela,Christian Eriksen,Nacer Chadli,Emmanuel Adebayor",0.0,2.0,68.06,7,24,6.25,4.0,0.0,9,38.41,10,1.0,7.0,37.18,15.0,9,7.0,3.0,3.0,52.47,"Wojciech Szczesny,Calum Chambers,Laurent Koscielny,Per Mertesacker,Kieran Gibbs,Mikel Arteta,Alex Oxlade-Chamberlain,Jack Wilshere,Aaron Ramsey,Mesut Özil,Danny Welbeck",70.12,3.0,1,24,2.0,5.0,78.57,2.0,4141,7,4.0,Michael Oliver,10.0,67.73,9,0,Mauricio Pochettino,21,7.0,0,30.0,1,16,16.0,59.8,Tottenham,8,2.0,16.0,3.0,4231,1.0,3.0,8,16,83.96,4,5.0,Arsenal,Arsène Wenger,16,6.0,15.0,6.16,0.0,24,10.0,1,4,3.0,61.59,Emirates Stadium,15,19,84.02,2014-09-27,39,6.47,31.0,75.0,32.27,6.0
