,Unnamed: 0,Unnamed: 0.1,id,homeTacklesTotalHT,homeShotsTotalHT,awayDispossessedFT,awayPassSuccessFT,awayRatingsFT,awayDribbleSuccessFT,awayDribblesAttemptedHT,awayTeamLineUp,awayShotsBlockedHT,awayShotsTotalHT,homeDribbleSuccessHT,homeFoulsCommitedFT,homeAerialsTotalFT,homeRatingsHT,awayShotsOnTargetFT,awayShotsBlockedFT,homeInterceptionsHT,awayPossessionHT,homePassesKeyFT,awayShotsOnTargetHT,awayDribblesWonFT,awayTackleSuccessHT,homeCornersTotalFT,homeAerialsTotalHT,homeShotsBlockedFT,awayCornersTotalHT,homeCornersTotalHT,homeDribbleSuccessFT,homeTeamLineUp,awayPassSuccessHT,awayDribblesWonHT,homeDispossessedHT,awayAerialsTotalFT,homeShotsBlockedHT,awayPassesKeyFT,homeTackleSuccessHT,awayPassesKeyHT,homeFormation,awayInterceptionsHT,awayDispossessedHT,refereeName,homeDribblesWonHT,homePossessionFT,awayAerialsTotalHT,awayGoalHT,awayManagerName,awayInterceptionsFT,homeDribbledPastFT,homeGoalHT,awayDribbleSuccessHT,homeGoalFT,awayTacklesTotalHT,homeDribblesWonFT,awayTackleSuccessFT,awayTeam,homeDispossessedFT,awayOffsidesCaughtFT,awayDribbledPastFT,homeShotsOnTargetHT,awayFormation,awayOffsidesCaughtHT,homeDribbledPastHT,awayFoulsCommitedHT,homeShotsTotalFT,homePassSuccessFT,homeFoulsCommitedHT,awayCornersTotalFT,homeTeam,homeManagerName,awayFoulsCommitedFT,homeShotsOnTargetFT,homeDribblesAttemptedHT,awayRatingsHT,homeOffsidesCaughtHT,homeTacklesTotalFT,awayDribbledPastHT,awayGoalFT,homePassesKeyHT,homeOffsidesCaughtFT,homePossessionHT,venueName,awayDribblesAttemptedFT,homeInterceptionsFT,homePassSuccessHT,date,awayTacklesTotalFT,homeRatingsFT,homeDribblesAttemptedFT,homeTackleSuccessFT,awayPossessionFT,awayShotsTotalFT
1023,1023,1024,1024,11,5,4.0,83.75,6.76,50.0,8,"Wojciech Szczesny,Calum Chambers,Laurent Koscielny,Per Mertesacker,Kieran Gibbs,Mikel Arteta,Aaron Ramsey,Alex Oxlade-Chamberlain,Mesut Özil,Santiago Cazorla,Danny Welbeck",2.0,7.0,50.0,11,14,6.01,3.0,2.0,2,58.77,5,2.0,8.0,75.0,5.0,10,2.0,3.0,4.0,60.0,"Brad Guzan,Alan Hutton,Ciaran Clark,Philippe Senderos,Aly Cissokho,Andreas Weimann,Carlos Sánchez,Tom Cleverley,Fabian Delph,Kieran Richardson,Gabriel Agbonlahor",79.76,2.0,6,14,1.0,8.0,87.5,6.0,451,12,3.0,Mike Jones,2.0,33.6,10,3,Arsène Wenger,22,8.0,0,20.0,0,10,6.0,64.71,Arsenal,10,2.0,6.0,2.0,4231,1.0,2.0,5,6,58.02,5,5.0,Aston Villa,Paul Lambert,9,2.0,4.0,6.35,1.0,21,2.0,3,5,1.0,41.23,Villa Park,17,10,51.91,2014-09-20,20,5.96,10.0,61.11,66.4,9.0
1031,1031,1032,1032,17,8,24.0,68.79,6.54,63.89,7,"Joe Hart,Pablo Zabaleta,Martín Demichelis,Vincent Kompany,Gaël Clichy,Fernandinho,Frank Lampard,Jesús Navas,David Silva,James Milner,Sergio Agüero",1.0,5.0,48.08,11,28,6.28,8.0,2.0,9,49.68,10,3.0,13.0,71.49,0.0,14,0.0,1.0,0.0,45.75,"Wojciech Szczesny,Mathieu Debuchy,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Mathieu Flamini,Alexis Sánchez,Jack Wilshere,Aaron Ramsey,Mesut Özil,Danny Welbeck",65.27,5.0,9,28,0.0,13.0,70.0,4.0,4141,6,10.0,Mark Clattenburg,11.0,46.71,14,1,Manuel Pellegrini,16,13.0,0,71.43,2,29,23.0,67.88,Man City,15,2.0,23.0,2.0,4231,1.0,5.0,9,15,69.19,4,3.0,Arsenal,Arsène Wenger,15,6.0,20.0,6.27,0.0,44,11.0,2,4,2.0,50.32,Emirates Stadium,20,26,70.06,2014-09-13,60,6.65,45.0,70.27,53.29,15.0
1050,1050,1051,1051,13,3,14.0,82.01,6.54,45.65,8,"Wojciech Szczesny,Mathieu Debuchy,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Mathieu Flamini,Alexis Sánchez,Santiago Cazorla,Aaron Ramsey,Mesut Özil,Yaya Sanogo",9.0,13.0,71.43,14,36,6.27,6.0,13.0,4,58.26,9,4.0,12.0,56.67,5.0,20,2.0,5.0,4.0,70.0,"Kasper Schmeichel,Ritchie de Laet,Wes Morgan,Liam Moore,Paul Konchesky,Riyad Mahrez,Dean Hammond,Andy King,Jeffrey Schlupp,Leonardo Ulloa,David Nugent",77.44,5.0,5,36,0.0,19.0,60.0,9.0,442,3,5.0,Anthony Taylor,6.0,35.96,20,1,Arsène Wenger,9,12.0,1,64.29,1,13,13.0,59.85,Arsenal,13,3.0,13.0,1.0,4141,2.0,5.0,2,9,62.46,6,10.0,Leicester,Nigel Pearson,5,3.0,8.0,6.25,1.0,39,6.0,1,3,3.0,41.74,King Power Stadium,25,14,65.56,2014-08-31,31,6.55,18.0,71.67,64.04,24.0
1058,1058,1059,1059,11,6,5.0,75.37,6.17,31.67,9,"Wojciech Szczesny,Mathieu Debuchy,Per Mertesacker,Calum Chambers,Nacho Monreal,Mathieu Flamini,Alex Oxlade-Chamberlain,Jack Wilshere,Aaron Ramsey,Mesut Özil,Alexis Sánchez",0.0,5.0,14.29,10,20,6.24,3.0,1.0,9,46.99,6,0.0,7.0,90.91,3.0,9,2.0,0.0,1.0,30.77,"Tim Howard,Seamus Coleman,Sylvain Distin,Phil Jagielka,Leighton Baines,James McCarthy,Gareth Barry,Kevin Mirallas,Steven Naismith,Steven Pienaar,Romelu Lukaku",76.28,3.0,4,20,1.0,10.0,77.78,3.0,4231,5,2.0,Kevin Friend,2.0,46.3,9,0,Arsène Wenger,19,7.0,2,28.57,2,12,7.0,78.95,Arsenal,6,0.0,7.0,2.0,4141,0.0,3.0,8,8,63.77,3,3.0,Everton,Roberto Martinez,18,2.0,8.0,6.09,0.0,26,2.0,2,4,2.0,53.01,Goodison Park,21,13,76.91,2014-08-23,22,6.56,16.0,76.25,53.7,13.0
1069,1069,1070,1070,18,8,9.0,44.89,6.54,30.0,13,"Julian Speroni,Martin Kelly,Brede Hangeland,Scott Dann,Joel Ward,Jason Puncheon,Mile Jedinak,Joe Ledley,Yannick Bolasie,Marouane Chamakh,Fraizer Campbell",1.0,2.0,15.38,13,40,6.18,2.0,2.0,7,26.88,11,1.0,7.0,91.67,9.0,19,3.0,1.0,3.0,34.67,"Wojciech Szczesny,Mathieu Debuchy,Laurent Koscielny,Calum Chambers,Kieran Gibbs,Mikel Arteta,Alexis Sánchez,Jack Wilshere,Aaron Ramsey,Santiago Cazorla,Yaya Sanogo",55.22,3.0,7,40,3.0,3.0,84.62,1.0,4141,12,5.0,Jonathan Moss,2.0,73.72,19,1,Keith Millen,19,7.0,1,25.0,2,21,12.0,75.25,Crystal Palace,11,1.0,12.0,2.0,4411,1.0,3.0,8,14,82.49,7,3.0,Arsenal,Arsène Wenger,19,6.0,14.0,6.31,0.0,33,2.0,1,6,0.0,73.12,Emirates Stadium,24,16,82.92,2014-08-16,45,6.45,34.0,80.0,26.28,4.0
1088,1088,1089,1089,11,7,5.0,53.79,6.47,41.67,10,"Thibaut Courtois,Branislav Ivanovic,Gary Cahill,John Terry,César Azpilicueta,Nemanja Matic,Cesc Fàbregas,Ramires,Willian,Eden Hazard,Oscar",1.0,4.0,77.78,17,50,6.26,3.0,2.0,9,37.54,9,2.0,7.0,48.04,6.0,23,4.0,1.0,3.0,59.65,"David Ospina,Héctor Bellerín,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Aaron Ramsey,Mesut Özil,Alexis Sánchez,Olivier Giroud",55.71,3.0,7,50,3.0,6.0,70.83,4.0,4231,9,1.0,Michael Oliver,10.0,58.07,23,0,José Mourinho,18,7.0,0,33.33,0,22,12.0,63.89,Chelsea,13,0.0,12.0,1.0,4231,0.0,3.0,5,11,78.56,6,2.0,Arsenal,Arsène Wenger,11,1.0,15.0,6.25,0.0,23,10.0,0,6,0.0,62.46,Emirates Stadium,18,18,77.61,2015-04-26,36,6.5,23.0,67.59,41.93,7.0
1106,1106,1107,1107,12,4,14.0,74.6,6.84,91.11,8,"David Ospina,Héctor Bellerín,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Aaron Ramsey,Mesut Özil,Alexis Sánchez,Olivier Giroud",2.0,8.0,42.86,15,63,6.13,5.0,6.0,7,60.86,6,3.0,17.0,72.22,1.0,30,3.0,1.0,0.0,52.94,"Tom Heaton,Kieran Trippier,Jason Shackell,Michael Duff,Ben Mee,George Boyd,David Jones,Scott Arfield,Ashley Barnes,Danny Ings,Sam Vokes",71.07,8.0,3,63,2.0,9.0,35.0,2.0,442,11,4.0,Mike Dean,3.0,35.29,30,1,Arsène Wenger,27,17.0,0,100.0,0,10,9.0,63.64,Arsenal,7,2.0,9.0,2.0,4231,1.0,8.0,5,8,56.38,12,6.0,Burnley,Sean Dyche,7,4.0,7.0,6.5,1.0,33,3.0,1,2,3.0,39.14,Turf Moor,19,18,57.31,2015-04-11,24,6.39,17.0,50.67,64.71,17.0
1110,1110,1111,1111,17,7,14.0,74.24,6.21,57.14,13,"Simon Mignolet,Mamadou Sakho,Emre Can,Kolo Touré,Jordan Henderson,Lucas Leiva,Joe Allen,Alberto Moreno,Philippe Coutinho,Lazar Markovic,Raheem Sterling",1.0,3.0,42.31,7,17,6.35,2.0,2.0,15,37.07,13,0.0,15.0,69.44,6.0,8,2.0,1.0,3.0,56.25,"David Ospina,Héctor Bellerín,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Aaron Ramsey,Mesut Özil,Alexis Sánchez,Olivier Giroud",65.82,6.0,7,17,0.0,12.0,71.15,4.0,4231,5,4.0,Anthony Taylor,7.0,51.52,8,0,Brendan Rodgers,9,15.0,3,36.36,4,22,15.0,60.22,Liverpool,13,3.0,15.0,5.0,3421,2.0,6.0,4,16,72.47,3,5.0,Arsenal,Arsène Wenger,9,10.0,15.0,6.14,2.0,39,7.0,1,6,4.0,62.93,Emirates Stadium,25,26,83.24,2015-04-04,40,6.77,27.0,63.33,48.48,13.0
1122,1122,1123,1123,19,6,17.0,65.16,6.91,65.22,13,"David Ospina,Calum Chambers,Gabriel Paulista,Laurent Koscielny,Nacho Monreal,Francis Coquelin,Aaron Ramsey,Alexis Sánchez,Santiago Cazorla,Danny Welbeck,Olivier Giroud",2.0,5.0,87.5,11,34,6.02,3.0,3.0,7,60.08,12,2.0,17.0,60.0,9.0,15,8.0,2.0,3.0,74.6,"Tim Krul,Ryan Taylor,Daryl Janmaat,Mike Williamson,Jack Colback,Moussa Sissoko,Vurnon Anita,Yoan Gouffran,Rémy Cabella,Sammy Ameobi,Ayoze Pérez",72.99,10.0,9,34,5.0,8.0,50.0,6.0,4231,17,6.0,Mike Jones,9.0,50.17,15,2,Arsène Wenger,31,17.0,0,75.0,1,19,22.0,65.42,Arsenal,25,4.0,22.0,0.0,4231,1.0,10.0,2,16,65.17,7,4.0,Newcastle,John Carver,7,4.0,10.0,6.57,3.0,42,9.0,2,5,3.0,39.92,St. James' Park,25,11,61.67,2015-03-21,54,6.29,29.0,63.16,49.83,7.0
1136,1136,1137,1137,15,12,10.0,61.2,6.49,68.63,8,"Adrián,Joey O'Brien,Cheikhou Kouyaté,James Collins,Aaron Cresswell,Alexandre Song,Mark Noble,Stewart Downing,Kevin Nolan,Matthew Jarvis,Diafra Sakho",1.0,3.0,63.64,10,34,6.3,1.0,2.0,8,25.44,16,1.0,16.0,53.57,7.0,20,5.0,2.0,5.0,52.5,"David Ospina,Calum Chambers,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Francis Coquelin,Aaron Ramsey,Theo Walcott,Mesut Özil,Alexis Sánchez,Olivier Giroud",60.35,6.0,5,34,3.0,3.0,66.67,3.0,4231,5,7.0,Anthony Taylor,8.0,64.45,20,0,Sam Allardyce,15,16.0,1,66.67,3,18,13.0,60.0,West Ham,7,3.0,13.0,6.0,4231,2.0,6.0,5,19,73.95,3,5.0,Arsenal,Arsène Wenger,9,9.0,13.0,6.32,1.0,32,8.0,0,9,3.0,74.56,Emirates Stadium,22,24,76.25,2015-03-14,31,6.66,24.0,54.67,35.55,7.0
1151,1151,1152,1152,17,3,13.0,59.91,6.66,40.0,10,"Simon Mignolet,Nathaniel Clyne,Dejan Lovren,Martin Skrtel,Joseph Gomez,Lucas Leiva,Emre Can,James Milner,Roberto Firmino,Christian Benteke,Philippe Coutinho",3.0,11.0,55.56,2,49,6.27,8.0,3.0,11,41.31,15,5.0,9.0,61.54,7.0,31,5.0,6.0,2.0,64.81,"Petr Cech,Héctor Bellerín,Gabriel Paulista,Calum Chambers,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Aaron Ramsey,Mesut Özil,Alexis Sánchez,Olivier Giroud",64.95,7.0,5,49,1.0,12.0,69.44,9.0,4231,9,7.0,Michael Oliver,5.0,61.98,31,0,Brendan Rodgers,22,9.0,0,66.67,0,15,14.0,64.52,Liverpool,17,4.0,14.0,1.0,433,4.0,7.0,5,19,72.55,1,8.0,Arsenal,Arsène Wenger,13,5.0,10.0,6.37,5.0,32,5.0,0,3,5.0,58.69,Emirates Stadium,19,27,71.76,2015-08-24,39,6.65,22.0,80.13,38.02,15.0
1153,1153,1154,1154,13,1,16.0,87.19,6.41,50.0,4,"Petr Cech,Héctor Bellerín,Gabriel Paulista,Laurent Koscielny,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Alex Oxlade-Chamberlain,Aaron Ramsey,Alexis Sánchez,Theo Walcott",4.0,10.0,50.0,15,18,6.15,9.0,7.0,5,71.28,1,2.0,5.0,66.67,0.0,8,0.0,3.0,0.0,29.17,"Tim Krul,Daryl Janmaat,Fabricio Coloccini,Chancel Mbemba,Massadio Haidara,Vurnon Anita,Jack Colback,Moussa Sissoko,Georginio Wijnaldum,Florian Thauvin,Aleksandar Mitrovic",88.67,1.0,2,18,0.0,16.0,90.91,7.0,4231,8,9.0,Andre Marriner,3.0,31.82,8,0,Arsène Wenger,15,5.0,0,25.0,0,8,4.0,88.1,Arsenal,12,2.0,4.0,0.0,4231,1.0,1.0,1,1,64.56,9,9.0,Newcastle,Steve McClaren,8,0.0,6.0,6.15,0.0,26,3.0,1,1,2.0,28.72,St. James' Park,10,13,60.24,2015-08-29,25,6.21,13.0,79.17,68.18,22.0
1165,1165,1166,1166,12,13,11.0,64.66,6.3,51.39,4,"Jack Butland,Phil Bardsley,Marc Muniesa,Geoff Cameron,Erik Pieters,Glenn Whelan,Marco van Ginkel,Xherdan Shaqiri,Mame Biram Diouf,Marko Arnautovic,Joselu",1.0,2.0,68.75,6,19,6.39,3.0,3.0,11,32.31,24,1.0,8.0,57.69,13.0,9,8.0,0.0,6.0,67.65,"Petr Cech,Héctor Bellerín,Gabriel Paulista,Laurent Koscielny,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Aaron Ramsey,Mesut Özil,Alexis Sánchez,Theo Walcott",60.49,2.0,5,19,2.0,6.0,80.0,2.0,4231,11,8.0,Jonathan Moss,6.0,65.23,9,0,Mark Hughes,15,8.0,1,50.0,2,14,12.0,54.17,Stoke,9,3.0,12.0,6.0,4231,2.0,2.0,7,29,79.81,4,1.0,Arsenal,Arsène Wenger,13,12.0,9.0,6.16,1.0,26,6.0,0,9,3.0,67.69,Emirates Stadium,15,25,79.82,2015-09-12,28,6.74,19.0,67.54,34.77,8.0
1175,1175,1176,1176,22,8,15.0,64.12,6.36,65.79,13,"Petr Cech,Héctor Bellerín,Gabriel Paulista,Laurent Koscielny,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Aaron Ramsey,Mesut Özil,Alexis Sánchez,Theo Walcott",1.0,4.0,55.56,12,20,6.23,2.0,3.0,6,46.54,20,1.0,17.0,62.5,5.0,12,10.0,2.0,2.0,57.89,"Asmir Begovic,Branislav Ivanovic,Kurt Zouma,Gary Cahill,César Azpilicueta,Nemanja Matic,Cesc Fàbregas,Pedro,Oscar,Eden Hazard,Diego Costa",71.12,9.0,4,20,2.0,5.0,65.38,3.0,4231,10,9.0,Mike Dean,5.0,59.64,12,0,Arsène Wenger,19,17.0,0,66.67,2,13,15.0,65.0,Arsenal,12,3.0,15.0,4.0,4231,2.0,9.0,4,22,75.89,6,5.0,Chelsea,José Mourinho,11,6.0,9.0,6.26,0.0,40,5.0,0,8,0.0,53.46,Stamford Bridge,25,11,75.04,2015-09-19,36,6.57,24.0,62.5,40.36,9.0
1191,1191,1192,1192,18,7,18.0,75.58,6.82,80.0,12,"Petr Cech,Héctor Bellerín,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Mathieu Flamini,Santiago Cazorla,Aaron Ramsey,Mesut Özil,Alexis Sánchez,Theo Walcott",3.0,9.0,65.0,9,35,6.4,12.0,13.0,14,52.18,14,5.0,16.0,51.39,6.0,13,3.0,1.0,2.0,60.0,"Kasper Schmeichel,Ritchie de Laet,Robert Huth,Wes Morgan,Jeffrey Schlupp,Riyad Mahrez,N'Golo Kanté,Daniel Drinkwater,Marc Albrighton,Shinji Okazaki,Jamie Vardy",77.77,10.0,4,35,2.0,23.0,36.67,7.0,442,8,6.0,Craig Pawson,8.0,49.1,13,2,Arsène Wenger,14,16.0,1,83.33,2,16,15.0,58.67,Arsenal,13,2.0,15.0,2.0,4231,2.0,10.0,8,16,68.14,3,5.0,Leicester,Claudio Ranieri,12,7.0,12.0,6.36,0.0,37,8.0,5,6,0.0,47.82,King Power Stadium,20,18,73.2,2015-09-26,36,6.52,24.0,54.55,50.9,27.0
1206,1206,1207,1207,17,7,18.0,77.6,5.95,52.63,8,"David de Gea,Matteo Darmian,Daley Blind,Chris Smalling,Ashley Young,Bastian Schweinsteiger,Michael Carrick,Juan Mata,Wayne Rooney,Memphis Depay,Anthony Martial",0.0,2.0,80.0,8,23,6.83,5.0,1.0,12,50.58,10,2.0,12.0,51.04,3.0,9,2.0,2.0,2.0,73.53,"Petr Cech,Héctor Bellerín,Gabriel Paulista,Per Mertesacker,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Aaron Ramsey,Mesut Özil,Alexis Sánchez,Theo Walcott",73.93,4.0,8,23,0.0,8.0,78.57,2.0,4231,5,9.0,Anthony Taylor,11.0,40.3,9,0,Louis van Gaal,6,12.0,3,50.0,3,22,16.0,56.17,Man Utd,16,3.0,16.0,3.0,4231,2.0,4.0,4,12,65.0,5,6.0,Arsenal,Arsène Wenger,17,5.0,14.0,5.78,2.0,41,11.0,0,7,2.0,49.42,Emirates Stadium,23,23,72.27,2015-10-04,38,7.17,22.0,71.97,59.7,9.0
1215,1215,1216,1216,24,4,16.0,82.03,6.7,70.29,14,"Petr Cech,Héctor Bellerín,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Aaron Ramsey,Mesut Özil,Alexis Sánchez,Theo Walcott",3.0,9.0,57.14,11,22,6.3,6.0,6.0,10,60.28,7,2.0,18.0,68.18,3.0,12,1.0,3.0,1.0,58.33,"Heurelho Gomes,Nyom,Sebastian Prödl,Craig Cathcart,Nathan Aké,Ikechi Anya,Etienne Capoue,Ben Watson,Almen Abdi,Odion Ighalo,Troy Deeney",81.72,9.0,5,22,0.0,16.0,60.53,9.0,442,14,10.0,Mike Jones,5.0,39.63,12,0,Arsène Wenger,21,18.0,0,70.83,0,13,8.0,72.5,Arsenal,12,4.0,8.0,1.0,4231,3.0,9.0,4,8,65.92,3,9.0,Watford,Enrique Sánchez Flores,12,1.0,8.0,6.34,0.0,43,5.0,3,3,1.0,39.72,Vicarage Road,27,17,62.93,2015-10-17,25,6.37,13.0,56.86,60.37,17.0
1224,1224,1225,1225,19,7,12.0,65.56,6.4,69.57,13,"Tim Howard,Seamus Coleman,Phil Jagielka,John Stones,Brendan Galloway,James McCarthy,Gareth Barry,Gerard Deulofeu,Ross Barkley,Aaron Lennon,Romelu Lukaku",1.0,3.0,40.91,11,21,6.35,5.0,2.0,17,43.0,16,1.0,18.0,80.0,7.0,11,6.0,1.0,4.0,48.67,"Petr Cech,Héctor Bellerín,Gabriel Paulista,Laurent Koscielny,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Alex Oxlade-Chamberlain,Mesut Özil,Alexis Sánchez,Olivier Giroud",66.99,9.0,11,21,1.0,6.0,46.43,1.0,4231,8,6.0,Lee Mason,6.0,56.36,11,1,Roberto Martinez,18,18.0,2,70.83,2,25,17.0,72.76,Everton,20,2.0,17.0,2.0,4231,0.0,9.0,6,20,76.95,5,5.0,Arsenal,Arsène Wenger,14,5.0,14.0,6.18,0.0,38,6.0,1,6,0.0,57.0,Emirates Stadium,26,34,78.5,2015-10-24,53,6.73,33.0,50.57,43.64,10.0
1233,1233,1234,1234,13,4,5.0,73.46,6.63,76.67,10,"Petr Cech,Héctor Bellerín,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Joel Campbell,Mesut Özil,Alexis Sánchez,Olivier Giroud",0.0,4.0,100.0,12,23,6.14,5.0,2.0,6,45.85,5,1.0,14.0,35.71,4.0,15,3.0,0.0,2.0,67.86,"Lukasz Fabianski,Kyle Naughton,Federico Fernández,Ashley Williams,Neil Taylor,Jonjo Shelvey,Ki Sung-yueng,André Ayew,Gylfi Sigurdsson,Jefferson Montero,Bafétimbi Gomis",73.28,7.0,3,23,2.0,11.0,45.45,3.0,4231,8,3.0,Kevin Friend,5.0,53.25,15,0,Arsène Wenger,21,14.0,0,66.67,0,8,10.0,61.36,Arsenal,11,1.0,10.0,1.0,4231,0.0,7.0,2,7,77.2,7,4.0,Swansea,Garry Monk,7,3.0,5.0,6.19,3.0,23,5.0,3,3,5.0,54.15,Liberty Stadium,18,9,74.82,2015-10-31,26,6.14,15.0,38.89,46.75,14.0
1253,1253,1254,1254,17,2,11.0,79.76,6.39,65.91,10,"Petr Cech,Héctor Bellerín,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Alexis Sánchez,Mesut Özil,Kieran Gibbs,Olivier Giroud",0.0,4.0,70.0,14,27,6.17,3.0,1.0,13,63.7,2,2.0,17.0,41.67,3.0,18,1.0,1.0,0.0,50.0,"Boaz Myhill,Craig Dawson,Jonas Olsson,Jonny Evans,Chris Brunt,Claudio Yacob,Darren Fletcher,James Morrison,Stéphane Sessegnon,James McClean,Salomón Rondón",79.56,5.0,1,27,1.0,6.0,70.83,3.0,4231,13,7.0,Mark Clattenburg,4.0,29.44,18,1,Arsène Wenger,17,17.0,2,44.44,2,8,5.0,67.86,Arsenal,8,1.0,5.0,1.0,4231,0.0,5.0,8,4,54.59,5,5.0,West Brom,Tony Pulis,10,1.0,7.0,6.26,3.0,37,4.0,1,1,5.0,36.3,The Hawthorns,26,25,62.72,2015-11-21,18,6.39,11.0,50.64,70.56,11.0
1261,1261,1262,1262,23,1,19.0,67.6,6.56,51.39,13,"Hugo Lloris,Kyle Walker,Toby Alderweireld,Jan Vertonghen,Danny Rose,Eric Dier,Dele Alli,Erik Lamela,Mousa Dembélé,Christian Eriksen,Harry Kane",1.0,6.0,50.0,12,28,6.15,4.0,3.0,12,44.02,10,2.0,16.0,83.33,7.0,6,1.0,1.0,2.0,40.0,"Petr Cech,Mathieu Debuchy,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Francis Coquelin,Santiago Cazorla,Joel Campbell,Mesut Özil,Alexis Sánchez,Olivier Giroud",74.24,5.0,9,28,0.0,10.0,83.33,4.0,4231,6,10.0,Martin Atkinson,2.0,56.07,6,1,Mauricio Pochettino,14,16.0,0,38.33,1,13,5.0,84.72,Tottenham,16,3.0,5.0,1.0,4231,0.0,5.0,6,10,65.69,5,6.0,Arsenal,Arsène Wenger,17,4.0,4.0,6.26,0.0,51,2.0,1,1,1.0,55.98,Emirates Stadium,32,13,68.93,2015-11-08,27,6.37,11.0,71.62,43.93,14.0
1272,1272,1273,1273,16,2,10.0,76.54,6.47,60.0,10,"Petr Cech,Héctor Bellerín,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Mathieu Flamini,Santiago Cazorla,Aaron Ramsey,Mesut Özil,Alexis Sánchez,Olivier Giroud",2.0,7.0,60.0,8,19,6.05,3.0,4.0,4,63.71,6,2.0,10.0,72.22,3.0,6,1.0,3.0,0.0,72.73,"John Ruddy,Andre Wisdom,Sebastien Bassong,Ryan Bennett,Martin Olsson,Gary O'Neil,Graham Dorrans,Jonny Howson,Wes Hoolahan,Robbie Brady,Lewis Grabban",78.1,7.0,6,19,0.0,10.0,58.33,7.0,4231,5,6.0,Jonathan Moss,3.0,40.24,6,1,Arsène Wenger,18,10.0,1,66.67,1,11,8.0,53.12,Arsenal,7,2.0,8.0,2.0,4231,1.0,7.0,3,7,61.62,4,6.0,Norwich,Alex Neil,6,2.0,5.0,6.3,2.0,26,3.0,1,2,3.0,36.29,Carrow Road,16,7,65.99,2015-11-29,18,6.27,11.0,64.29,59.76,12.0
1281,1281,1282,1282,15,3,14.0,62.03,6.29,45.45,7,"Costel Pantilimon,Younes Kaboul,John O'Shea,Sebastián Coates,DeAndre Yedlin,Yann M'Vila,Ola Toivonen,Patrick van Aanholt,Fabio Borini,Steven Fletcher,Duncan Watmore",0.0,4.0,75.0,7,31,6.35,4.0,1.0,8,35.25,14,1.0,5.0,37.5,3.0,19,5.0,1.0,0.0,64.29,"Petr Cech,Héctor Bellerín,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Mathieu Flamini,Aaron Ramsey,Joel Campbell,Mesut Özil,Alex Oxlade-Chamberlain,Olivier Giroud",69.45,3.0,1,31,1.0,8.0,75.0,4.0,4231,13,8.0,Robert Madley,3.0,67.13,19,1,Sam Allardyce,20,5.0,1,42.86,3,5,9.0,58.77,Sunderland,8,1.0,9.0,1.0,343,0.0,3.0,5,16,78.64,5,2.0,Arsenal,Arsène Wenger,11,7.0,4.0,6.14,0.0,25,3.0,1,2,1.0,64.75,Emirates Stadium,11,16,74.85,2015-12-05,22,6.64,14.0,78.57,32.87,11.0
1288,1288,1289,1289,7,6,14.0,76.86,6.53,77.78,2,"Petr Cech,Héctor Bellerín,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Mathieu Flamini,Aaron Ramsey,Joel Campbell,Mesut Özil,Theo Walcott,Olivier Giroud",1.0,4.0,40.74,8,27,5.93,4.0,1.0,6,57.19,13,2.0,7.0,63.33,5.0,17,4.0,1.0,1.0,51.39,"Brad Guzan,Alan Hutton,Jores Okore,Joleon Lescott,Leandro Bacuna,Carlos Sánchez,Jordan Veretout,Idrissa Gueye,Scott Sinclair,Rudy Gestede,Jordan Ayew",74.23,2.0,1,27,1.0,6.0,71.43,3.0,433,2,5.0,Kevin Friend,5.0,45.4,17,2,Arsène Wenger,9,7.0,0,100.0,0,12,9.0,70.63,Arsenal,11,5.0,9.0,1.0,4231,2.0,2.0,4,18,73.83,6,5.0,Aston Villa,Rémi Garde,7,2.0,11.0,6.33,1.0,23,5.0,2,4,2.0,42.81,Villa Park,9,15,66.13,2015-12-13,27,6.03,16.0,72.5,54.6,8.0
